date,amqs_ai_infra,qqq,smh,soxx,ai_infra_basket,amqs_daily,qqq_daily
2024-01-02,100000.0,98307.7660051977,96626.06584412357,96398.1922794786,97228.05592137657,0.0,-0.016922339948022946
2024-01-03,100000.0,97267.53093917026,94910.49924927368,94327.36152992304,96389.82154521465,0.0,-0.010581412926954803
2024-01-04,100000.0,96766.9444056775,94350.08762723181,93534.10683367861,96667.2557241808,0.0,-0.005146491626335403
2024-01-05,100000.0,96881.70883044091,94973.41291143787,94053.0996953613,97200.3836921044,0.0,0.001185987895642171
2024-01-08,99850.0,98884.06250825107,98335.90901889681,97116.8262914914,100991.03512025582,-0.0015,0.020668026008032303
2024-01-09,100000.08572754708,99079.40267881729,98598.9577572915,97149.78154454262,100490.15593946216,0.0015031119433858943,0.0019754464532635296
2024-01-10,100609.13169177054,99750.90997559568,98690.45335289557,96823.46007918287,100996.44136855601,0.006090454421037372,0.006777466139508359
2024-01-11,101219.0804821784,99958.48625323914,99250.86497493743,97181.02860354815,101693.55899859473,0.006062558936265458,0.0020809462058466455
2024-01-12,100710.83805822778,100009.76172784093,98902.03526927947,96752.28801311893,101180.6766670673,-0.005021211628573413,0.0005129676981290299
2024-01-16,102626.90138837707,100000.00000000003,100474.63065477862,98123.5891284085,101809.93998207175,0.019025393563317138,-9.760775020617452e-05
2024-01-17,101622.64750276205,99435.9169725065,99868.47563080268,97224.44251636966,101072.5632222644,-0.00978548384516215,-0.005640830274935227
2024-01-18,103523.68570685996,100847.33155550194,103110.87662574585,100433.94574775713,103217.52230172712,0.018706836033240082,0.014194212976239573
2024-01-19,107928.42105415653,102847.2334855932,107039.50777532333,104362.08299115737,108537.48203515071,0.0425480924217585,0.019830985106339627
2024-01-22,108327.65048402746,102981.5364537167,107537.02331867286,104704.03604353897,109428.51486382874,0.003699020387508601,0.0013058491081563428
2024-01-23,108747.51437944814,103408.85722152865,108085.99689229723,105398.35246295799,110208.79701066375,0.003875870043748189,0.004149489146571428
2024-01-24,110135.72322445913,103982.70952070224,110007.43077519027,106932.81028216788,111444.64783022583,0.012765430574966206,0.005549353455712502
2024-01-25,111041.5463013926,104109.67987718634,110007.43077519027,106635.98739417255,111922.50628081271,0.008224607333693212,0.0012210718211649318
2024-01-26,108910.79555406375,103489.45559884883,107662.84185126533,103761.50774875494,110284.20223885977,-0.019188770494473185,-0.005957412212477697
2024-01-29,110007.2834005404,104549.22166439726,108926.62751296391,104841.16696081981,111807.86337870208,0.01006776087621497,0.010240328924488118
2024-01-30,109515.55540695992,103853.27987266002,107845.82425073754,103221.64591264617,111232.91572585405,-0.004469958518928969,-0.006656594670510385
2024-01-31,106938.78269373933,101819.21189512557,106290.38154199668,101727.12115801375,108823.46115261104,-0.023528828426658557,-0.01958597725587985
2024-02-01,109240.1837568581,103018.15424887884,107262.5365318607,102230.49854771276,110949.98135811089,0.021520733686577715,0.011775207560908774
2024-02-02,112644.0157513841,104759.21951440313,109349.80013746764,103535.8327542663,113345.04344916494,0.031159156616782126,0.01690056746035351
2024-02-05,112758.33528320318,104622.4874300781,111482.81593674458,104950.52360982013,114157.42208926691,0.0010148744347982747,-0.0013052033506820715
2024-02-06,110496.95561952626,104412.4820362331,110219.0214833101,103726.7717839863,114977.55454721348,-0.020055099767101563,-0.0020072682174120393
2024-02-07,112250.72537556248,105486.91332506029,112443.52408645519,105313.30534903241,117061.0255967662,0.015871656790934257,0.010290257140466608
2024-02-08,113103.80884445179,105682.26858330474,114044.71019713012,107123.74125436881,118740.31599767589,0.007599803618507655,0.0018519383313688742
2024-02-09,115443.93281276469,106722.49610549305,116572.3166874709,109257.05806441634,120334.42891877862,0.02069005449260501,0.009842971163779968
2024-02-12,114640.97656116607,106304.92952168289,116120.54454605548,109059.16539572735,120560.20409094341,-0.006955378529081267,-0.003912638844179694
2024-02-13,112903.98578835577,104646.89929351947,113970.37607002025,106818.25653335881,118103.29216317492,-0.015151569926513613,-0.015596927025150142
2024-02-14,115268.97863379968,105787.25619254894,116257.79233532953,109231.02422025781,120661.93004623798,0.020946938488754646,0.010897187654179241
2024-02-15,114003.93863138098,106102.25673947729,115868.9338560783,109126.8807861045,120742.37204205041,-0.010974678681222965,0.002977679526492194
2024-02-16,113049.91791228185,105140.15321537285,115371.4095209929,108508.93353255824,117871.09469978085,-0.008368313678914698,-0.009067700854533123
2024-02-20,110543.3666985484,104346.5413383525,113101.15472417782,106682.85798268091,115839.88996906103,-0.02217207460228619,-0.007548133160836024
2024-02-21,108474.18598121888,103928.9898422206,112374.9045876861,106438.1108405218,113865.59446288469,-0.018718271200950314,-0.004001584439468409
2024-02-22,116602.30274908902,106971.5710422191,120049.17569563298,111683.7249717343,121421.04652956738,0.07493134605571004,0.029275577532482222
2024-02-23,116584.79555103977,106656.57803912989,119300.04946230628,110479.07752364727,120407.85202678606,-0.00015014453090962145,-0.0029446422074598244
2024-02-26,118685.0407719712,106600.39906909024,120289.35712892856,111569.15510788701,122005.36743585469,0.01801474378373778,-0.0005267276624891792
2024-02-27,118676.66745571361,106856.79907361654,119940.52742327061,111458.06609228379,122282.0046016959,-7.055072992441592e-05,0.002405244321459943
2024-02-28,118222.98537132687,106287.85026988083,118608.11347106706,110204.82374660461,121504.23220663155,-0.0038228414574923305,-0.0053244043305447075
2024-02-29,119665.08374774283,107198.66323170524,121204.32187670509,113190.4085226636,124808.76560947207,0.012198121810969808,0.008569304577256132
2024-03-01,127924.61060669895,108812.74305306711,126116.53727282817,118007.28206344688,131411.87786291158,0.06902202881809237,0.015056902508878478
2024-03-04,128823.81621444781,108424.49182813623,128146.61942808352,119166.80740466672,134118.24333284443,0.00702918385668139,-0.003568067618160642
2024-03-05,126717.15068422926,106478.30957652658,126185.16556333312,116830.3847110832,132226.54900715555,-0.01635307501457392,-0.0179496552743319
2024-03-06,129152.53709199077,107147.39530094259,129439.01339842971,119701.43991089035,135198.65552928246,0.019219074881429037,0.006283774855902813
2024-03-07,131360.7077992772,108773.67351018605,133910.90349329077,123806.60890607261,137451.5760065825,0.017097385440547893,0.015177953740039829
2024-03-08,126557.37352266887,107203.5440956257,128661.29643992723,118797.05591144729,133069.12719167338,-0.03656598961043938,-0.014434829346949729
2024-03-11,123516.76699439142,106805.5311428539,126368.15675454125,117219.21640949222,130832.51996028122,-0.024025518574252076,-0.003712684651701159
2024-03-12,126680.58005902579,108336.59101453319,130365.40740288782,119651.08847413803,133603.30142755745,0.025614442003473237,0.014335024181767242
2024-03-13,124413.05149660275,107503.90205079266,127786.36046574399,116734.92728250187,131459.8747947916,-0.017899575146928526,-0.0076861285364686616
2024-03-14,122392.37234079637,107232.85945450499,125498.94420043471,114740.48181385723,129172.88640903294,-0.016241697567088202,-0.0025212349609377016
2024-03-15,121877.65088372151,105958.19204351284,124572.54140424068,113917.70436769113,127800.61837552662,-0.004205502738696973,-0.011886910574579246
2024-03-18,122886.38458929418,106968.76473406078,124824.15209421786,113829.19252055968,128439.14769610285,0.008276609355845307,0.009537466344583745
2024-03-19,122341.15168129283,107235.27348302824,124549.66530740568,112876.21362352447,127173.39224797423,-0.004436886232950826,0.0024914632755648203
2024-03-20,124560.55346319657,108506.7347623879,126545.42452567266,114797.77077454043,129207.45377439307,0.01814108949771419,0.01185674487565791
2024-03-21,127787.08376188437,109020.20617312353,129416.13730159469,117380.672976886,132665.55056923383,0.02590330733911786,0.004732161665909951
2024-03-22,128164.07090035187,109144.89829018882,130176.70158333887,117521.4378352735,132929.66172583975,0.0029501192716000226,0.001143752350525551
2024-03-25,128200.73467575035,108748.80147255736,129856.4626028567,117062.71521633485,133754.69459787352,0.0002860690608601096,-0.003629091453989375
2024-03-26,127839.05526208303,108396.70032476223,128649.84959977379,116181.75442486731,134603.8687172748,-0.0028211961076672685,-0.0032377473868894224
2024-03-27,126005.10770276093,108765.91844355507,128604.09740610381,117641.30954667766,134430.0482022647,-0.014345753381565032,0.003406174889887259
2024-03-28,126529.55622492386,108565.41074318127,128661.29643992719,117766.42670300514,134057.75169080618,0.004162121137184944,-0.001843479126945935
2024-04-01,128495.76826402343,108795.26397779089,130348.25472612948,119007.06708883784,136098.5471630566,0.015539547420875611,0.0021171866162175146
2024-04-02,127013.3012689226,107856.3351275097,128672.72569660874,117172.15244052598,134260.00182019302,-0.011537088070128258,-0.008630236427137783
2024-04-03,131117.18456125315,108098.39429384003,129187.39391671654,117500.5849758856,136202.77233618975,0.0323106576345217,0.0022442739783821164
2024-04-04,127110.90122593647,106445.48633244939,125744.84026207104,114174.85203171968,132595.57540944335,-0.030554982924035377,-0.015290772561316612
2024-04-05,130817.40952904169,107699.83818465048,127317.4356475702,115530.15091410956,134719.04663562073,0.029159641441901023,0.0117839834775475
2024-04-08,129647.00031676215,107731.64301044437,127557.6082891299,115827.27193031098,133842.34251686613,-0.008946891828030632,0.0002953098753906147
2024-04-09,128446.24410382133,108130.19157579476,128152.34284816017,117073.13358850972,133418.80832914254,-0.009261735404653013,0.003699456856067318
2024-04-10,129028.9813644663,107186.36677391484,127037.21664894541,114935.90888170672,132536.70885157652,0.004536818220811256,-0.008728596408879352
2024-04-11,131918.94708702678,108897.95071609887,129987.986972054,117531.8481499293,135310.66781619296,0.022397803129184102,0.015968298895644217
2024-04-12,127795.1405031589,107161.92473511687,126196.59482001467,113674.4236940052,130910.67423716534,-0.031260153866657314,-0.015941769055947352
2024-04-15,124934.58110054633,105398.99742377887,124298.04582569255,112235.68920150644,128477.75965250786,-0.022383945049474413,-0.01645106053941847
2024-04-16,126561.94788004189,105408.7817831372,125327.38226590812,113085.37070389211,129931.11696277976,0.01302575127847002,9.283161697437592e-05
2024-04-17,124348.40073485383,104122.64019282047,121461.64719502299,109655.3895778248,127483.73981820238,-0.017489831519392537,-0.012201465272246192
2024-04-18,122340.4302077258,103528.49496637328,119305.7728823829,107711.03770532183,125737.48972036615,-0.016147940104268746,-0.005706205925502084
2024-04-19,116506.8586132603,101386.57272072324,113918.9180397453,103415.72737480885,119849.65381141244,-0.04768310512363341,-0.020689204902918257
2024-04-22,118367.38526988085,102406.17538671599,116097.66844922041,105120.287479389,121473.43834914037,0.015969245748840392,0.010056584798475487
2024-04-23,122474.65067821053,103934.36859952392,118831.13343586838,107314.85754950876,124505.18569560601,0.034699299971567475,0.014922861898093664
2024-04-24,123882.29685841108,104286.46974731906,118968.37243340652,108706.65699334657,124912.81760691722,0.011493367585909704,0.0033877258556487266
2024-04-25,127631.5250184451,103782.76760826346,121347.28429431985,110724.00998874541,127331.3642294343,0.030264438544589895,-0.004829985522340818
2024-04-26,131163.05861565488,105384.32465666096,124458.16092006567,113064.52590202329,129736.29406392873,0.027669759463419492,0.01543182057393877
2024-04-29,131321.96389441926,105812.21875624718,124881.34233630533,113924.63383410292,129899.15319364054,0.0012115094024303973,0.004060320175512722
2024-04-30,129051.6535623898,103817.00909409802,122428.08755654622,111547.61735937708,127297.37234178868,-0.017288123514926743,-0.01885613670709807
2024-05-01,124347.94602738677,103066.3593809525,118859.72416104419,107778.79338329437,123809.62837824757,-0.03644825467291679,-0.0072305079841507025
2024-05-02,127515.94957357972,104381.81633014852,121250.07407037502,110202.73684916206,125909.65573203222,0.025476927021337623,0.012763203795079558
2024-05-03,129863.93528723654,106479.74290596222,124509.6365338124,112683.99344827021,128699.6467576986,0.018413270822266615,0.020098582775932794
2024-05-06,134353.1959310313,107646.05815545584,127334.58832432854,115024.51741906717,132532.90758077696,0.03456895583724068,0.010953400315059536
2024-05-07,132343.4753492096,107663.17512645356,126225.19433692639,114008.04527165454,129915.78749828125,-0.014958487350411456,0.0001590115912371015
2024-05-08,134429.6622251178,107599.60319406145,126608.32939610092,114117.49861088382,131117.03979263344,0.0157634282340208,-0.0005904705329138338
2024-05-09,133934.8634457037,107834.3297487524,125796.29829234595,113690.06333854613,130490.40907196228,-0.0036807261970613586,0.002181481601448043
2024-05-10,134921.67459876242,108088.62502215999,127694.86487013988,114805.58656805135,131609.2813586199,0.007367843798629562,0.002358203310579121
2024-05-13,134450.55524508285,108338.01680012971,127671.97998156898,115045.3702784551,131722.97778715697,-0.003491798890583043,0.002307289762623954
2024-05-14,138209.64155302418,109034.8713964023,129856.46260285669,116958.4509193953,134785.7582472761,0.02795887529872288,0.006432225887595955
2024-05-15,145021.9546536452,110739.10763926868,133756.50302725835,120242.48620230447,140156.9107229722,0.04928970963293815,0.01563019446017888
2024-05-16,141754.9577610647,110514.1729877752,132784.34803739437,119653.43321219138,138861.5322849004,-0.02252760211640403,-0.002031212426112483
2024-05-17,140709.32312788477,110460.37032706312,131669.23942165144,118975.78779975597,137919.65976714934,-0.007376353178012968,-0.00048683946373118125
2024-05-20,142267.37131035735,111230.58875892528,134385.5429398052,121592.57992736645,139308.8384984612,0.011072814137955486,0.006972803273985084
2024-05-21,142368.2081764731,111448.1907987794,134196.82832852038,121201.62910143852,138484.23024009427,0.0007087842081214425,0.0019563147357397614
2024-05-22,142680.29130244962,111426.20050770036,135294.78426750502,122624.71589187726,138661.59539922123,0.0021920843843850108,-0.0001973140247627514
2024-05-23,144783.50930391494,110924.94257252457,137141.8752315523,121936.61987719066,138054.44133014922,0.014740774512486505,-0.004498564367194313
2024-05-24,148548.0495664511,111973.91340427054,139680.90218683876,124355.32595565413,140717.1602196449,0.026001167402525435,0.009456582148421155
2024-05-28,151496.2849741367,112396.91909609718,142866.12173143035,126456.08233108553,142384.60663374106,0.019847015267384888,0.0037777164248908868
2024-05-29,153045.4421531672,111604.68019779943,140475.77182209954,123844.48730328388,141100.438850345,0.010225710678614794,-0.007048581977770918
2024-05-30,149545.92115206213,110409.01941407,138542.91747426084,122984.38742872333,139303.29838111313,-0.022865894938594547,-0.010713357017020697
2024-05-31,141944.82594228943,110203.63839361489,137519.29566238605,121983.53881081348,135202.26787174612,-0.05082783369292772,-0.001860183357709877
2024-06-03,141363.26391090566,110795.36204769969,139234.85346550005,122181.63291747957,134822.029350584,-0.004097099189936037,0.005369365864050124
2024-06-04,140369.88916676637,111098.5564863815,138731.6320855457,121227.68711815435,134497.6809588233,-0.007027106736622716,0.002736526449105936
2024-06-05,146807.00864832883,113338.26951874078,145485.21502563934,126529.0512239051,139706.55179836965,0.045858264331283025,0.02015969516790106
2024-06-06,141679.01742398605,113299.15471282491,144341.5156847206,125491.71010206638,138077.87903854437,-0.034930152664759406,-0.00034511560906980154
2024-06-07,141098.78161545252,113198.89709071843,144227.13520054563,125116.40697819846,138180.56854014908,-0.004095425131282055,-0.0008848929399393191
2024-06-10,144541.88398098334,113656.12918070133,146314.3988061526,126920.00204983303,139704.23507636905,0.024402070139163876,0.004039192092273547
2024-06-11,144100.23354047697,114436.12442808268,146097.10226142788,127024.403324597,139913.4133439921,-0.0030555187765814997,0.006862764489728779
2024-06-12,148782.77481615523,115934.9721066548,150448.89724377322,130604.90696466184,143164.66256776595,0.03249502905464051,0.013097679478948576
2024-06-13,153406.65845386268,116563.37390661483,152804.94179958745,132024.57736700925,146588.44340855678,0.03107808443162187,0.005420295434081179
2024-06-14,152527.2467840002,117167.32612393772,153193.8002788387,131549.62690463656,146047.76546254108,-0.005732552150772335,0.005181320659152888
2024-06-17,155289.0885125075,118602.59432627857,155818.6082013884,133626.9358995352,149025.8477828808,0.018107202396555798,0.012249730789474889
2024-06-18,158719.01049371023,118639.27247215378,158266.1395610708,135328.4502619018,151170.12334674818,0.022087334107357328,0.0003092524753236514
2024-06-20,153479.5646324983,117724.80074834883,153782.81141779225,131654.0040068433,148722.90208168532,-0.03301082740444351,-0.0077080017834700865
2024-06-21,150642.10419193012,117409.38529026808,151478.23368398877,130370.0302833799,146586.4048180431,-0.018487545539775434,-0.0026792609210272156
2024-06-24,146523.3916142481,116072.72260926309,146268.65540421853,126648.608692065,142936.24269405243,-0.027341045186373918,-0.0113846323077188
2024-06-25,149789.12583413854,117400.07619277528,149694.05638210571,128595.44228044568,144946.98831496443,0.02228814241816189,0.011435534151985616
2024-06-26,147928.97270226918,117642.53518257978,149202.2642588329,128094.36128368546,143990.71233042327,-0.012418479121970076,0.0020652370736657932
2024-06-27,149908.3906736804,117946.19733928794,148029.95660926658,127436.7307486533,145704.3827932252,0.013380867420712293,0.0025812275826671005
2024-06-28,149251.45749429544,117333.94689891634,149082.16914631717,128725.93380200182,145468.74620540754,-0.004382230884026976,-0.0051909298831431805
2024-07-01,150332.70790736517,118022.12608018347,149259.46329265632,128720.69641459758,146701.09958115086,0.007244488135809815,0.0058651328064502906
2024-07-02,150652.82380522718,119261.322359562,150757.6981758379,130531.82526657514,147530.20915661924,0.002129382902217457,0.010499694595711873
2024-07-03,153310.57972094495,120255.6079014171,154183.11673719692,132708.3142638717,149439.72416791634,0.017641593755679426,0.008337032679022416
2024-07-05,151512.36061648972,121509.49957943095,154240.28060407666,132969.28924946484,149687.3794131583,-0.01172925643962951,0.010426887360145187
2024-07-08,154434.7451111033,121798.48896902121,156807.9070762748,135490.24524509706,152645.3724385081,0.019288092949794056,0.0023783275430357964
2024-07-09,154740.15641723108,121903.78587566997,157151.01336185605,135427.6383218188,152236.36503960387,0.0019776074736815724,0.0008645173477934698
2024-07-10,157471.73731159358,123174.82470003807,160845.17770647875,138569.71623351614,154802.28733874334,0.0176526957036106,0.010426573836389563
2024-07-11,153579.72390735647,120473.5795893888,154983.69220906257,134013.18919183747,151565.55780179185,-0.024715631329676895,-0.021930172153501903
2024-07-12,154063.63792853107,121181.35012088997,156945.16365728478,135646.85118600255,152611.52754655937,0.0031508978455157665,0.00587490247997513
2024-07-15,153335.4855833535,121507.06291939024,156590.61053155013,135798.20362446568,152133.98379011103,-0.004726308913433177,0.0026878129198539824
2024-07-16,152021.391854186,121553.57823149773,156521.98224104513,136638.50617463823,151286.164178063,-0.008570056201720867,0.00038281982125054625
2024-07-17,143427.33299556718,117985.39512743424,145376.566753277,126920.01010735214,143470.98360600826,-0.05653190484443109,-0.02935481748853097
2024-07-18,142684.16582257085,117427.01524232693,146131.4076149445,127301.02601225022,142842.17185829126,-0.005181489172773694,-0.0047326186813565485
2024-07-19,141035.3900619225,116386.18421300779,141899.69895337903,123407.36689300796,141058.8750159705,-0.011555422083054505,-0.008863642043283049
2024-07-22,144665.8483037614,118120.08283135365,147378.0493916207,128522.3686398781,143892.47423602344,0.025741469855508653,0.014897804495183964
2024-07-23,145467.56355329324,117703.75343716163,145742.5491356933,126606.8546281747,144044.51964676735,0.005541841830204564,-0.0035246283630397945
2024-07-24,138413.18909045815,113481.68544453951,137805.22049761584,119873.83053168042,136810.77960802178,-0.04849448420335055,-0.03587029189240043
2024-07-25,135292.28712526042,112230.24551424458,135277.63159074687,117201.50598254695,134030.19149968628,-0.022547720962906928,-0.011027681915303678
2024-07-26,136755.59158141332,113381.26940181121,137422.0854384413,119717.24070581306,135857.54808179828,0.0108158749271353,0.010255915259675064
2024-07-29,135754.969380506,113609.02544914126,136444.21582023648,119466.71632247113,134701.0503430869,-0.007316864994961555,0.002008762545451015
2024-07-30,130388.2424281495,112049.0198667003,131223.1907003128,115129.40214497622,130414.8836130105,-0.03953245304276234,-0.013731352560006904
2024-07-31,140120.54192976572,115364.96716544012,141242.06831565642,122854.10540266344,137813.37529978473,0.07464092866332804,0.02959371980838954
2024-08-01,134052.20994634656,112570.65371138022,132103.84130283684,114002.01018986112,130739.68072376383,-0.043307939719937,-0.024221507817470234
2024-08-02,128355.47440004788,109898.7993980016,124909.93306148118,107942.28044549719,123321.09021924846,-0.042496394118222536,-0.023734909812543004
2024-08-05,124546.53261963508,106622.0347997299,121982.03883520755,106037.20897852592,119766.89045654633,-0.029674946068458333,-0.029816200142503968
2024-08-06,127295.81307493827,107640.82273109605,124355.23606778009,106997.58467807971,121289.1399861735,0.022074323527732954,0.009555134951980238
2024-08-07,123623.02435103884,106475.10344489412,120929.82629815699,104017.30980709671,117135.16498189131,-0.028852392197198665,-0.010829713640466032
2024-08-08,128296.55815019185,109732.26914909264,128615.54424625725,111193.97284680545,123569.58903726513,0.03780471982211073,0.03059086677369849
2024-08-09,128955.9654722156,110305.33688899616,128581.23010100475,110536.34231177329,124288.92949055927,0.005139711708024184,0.005222417656604694
2024-08-12,129972.48481396087,110542.89238336279,129787.85189582358,111173.11192989846,125267.84655359536,0.007882685675090163,0.002153617413867215
2024-08-13,134734.08280852536,113285.74931068167,135066.04967436293,115687.8768501677,129891.06121416787,0.03663543096356225,0.02481260321836576
2024-08-14,135781.16788455605,113322.49535110912,135180.4125750661,115395.59034541635,130894.67546791155,0.007771493702293139,0.00032436595645113364
2024-08-15,139677.34467483696,116185.37475906863,140887.51518992175,120943.82072084518,136427.4543111138,0.02869452996304696,0.025263116551478948
2024-08-16,140612.03087766175,116334.7654054625,141081.95322128327,120688.05089257992,137044.6070859053,0.006691752374020821,0.0012857956236200785
2024-08-19,142272.0093311608,117862.9510744313,143729.6196571962,122739.2776982055,138835.05031876307,0.011805379974515319,0.013136104788990632
2024-08-20,141199.400258807,117615.6036768672,141853.94675970907,121116.05019125347,137610.97454825926,-0.007539143345175966,-0.0020986017684886393
2024-08-21,142055.31058360278,118164.16148342055,143323.61729292257,122833.23642823733,139051.38733046697,0.006061713599540575,0.004663988360425586
2024-08-22,139113.862459735,116290.68675339568,138628.6984415242,118636.8402019925,134786.73582471366,-0.0207063580501389,-0.015854847243914283
2024-08-23,141460.68175832432,117551.91858688807,142042.66137099388,121815.45090521408,137044.04514514672,0.01686977312752376,0.010845510235629963
2024-08-26,138606.40480134904,116410.6866025189,138714.47061705153,118756.88112129741,134286.7298531612,-0.020177175180391155,-0.009708322910320089
2024-08-27,138439.60153584095,116758.43495513302,140109.78943968334,120072.17442143805,134188.9690394192,-0.0012034311527459836,0.0029872545447782173
2024-08-28,136379.3209973457,115433.53311933977,137753.76246734092,117906.11991135453,130869.94905398355,-0.014882161719902505,-0.011347375770344836
2024-08-29,134374.8760134682,115264.558666551,136049.63392090853,117566.85807034679,129997.81809738027,-0.014697572690778624,-0.00146382466361894
2024-08-30,136910.12146030864,116638.4351060098,139223.42420881853,120641.08361384258,133484.16218858227,0.018866960268572583,0.01191933110535115
2024-09-03,129938.4164993747,113097.191051498,128775.6593406304,111434.07080045342,126577.65838303305,-0.05092176448733256,-0.03036086733582488
2024-09-04,130582.47278523428,112803.30571030901,128466.85840856573,111799.43094577239,126358.21696781617,0.004956627171631416,-0.002598520250208236
2024-09-05,130661.90695752286,112908.61770463605,128243.8296520284,111199.21023420965,125601.98687181722,0.0006083065406430233,0.0009335896112609987
2024-09-06,126761.70830223264,109884.1039993663,122948.47919673077,106439.10997288817,121169.53085115431,-0.029849546406498974,-0.02678727068629727
2024-09-09,133049.94345700997,111297.17068313234,125727.67879357694,108542.53338713618,124843.38046188734,0.04960674038712502,0.012859609646306946
2024-09-10,136994.94645161903,112325.76560537424,126917.13911990156,109685.55692927314,126361.47977076411,0.029650542436222473,0.009241878440650941
2024-09-11,141321.04309516135,114764.96037598496,133470.56940029288,114779.69775923627,130988.58486400753,0.031578512606449345,0.021715362966500118
2024-09-12,143600.2661834931,115891.51204939708,133756.5030272585,114273.41966266722,132338.86050804588,0.01612798093201878,0.009816164007911299
2024-09-13,145260.2449638109,116410.6866025189,135477.78425044921,116314.21198107976,134148.90116010723,0.011559719382390685,0.004479832422071839
2024-09-16,146095.74404278965,115896.40045715666,133699.32157690695,114764.04199965717,134382.7535016056,0.005751739432815164,-0.004417860252970196
2024-09-17,145595.50372964755,115957.61116789946,133653.56938323693,114904.95995090726,134809.56335750548,-0.0034240580820449774,0.0005281502315979125
2024-09-18,144703.4448024271,115455.57621729275,132132.44081974856,113636.65004454208,133539.50551557355,-0.006126967553042609,-0.004329469584189671
2024-09-19,149019.4445960426,118374.77792823545,137868.1253680441,118475.03716127815,137547.12049924835,0.02982651725747364,0.025284198534063274
2024-09-20,149884.56121527628,118149.47362862434,136043.91929256776,116742.19516471516,138533.16206575077,0.005805394199252304,-0.001903313387820682
2024-09-23,150965.24676428255,118462.64856648196,136644.3596882029,117196.26859514267,139523.50369426515,0.007210119176011263,0.0026506672288868494
2024-09-24,151322.32076445827,119034.07174945401,139189.10127183018,118615.95511252823,140185.12320346615,0.002365272854707047,0.00482365699135423
2024-09-25,152380.0217781345,119144.43057216248,140412.86695167137,119433.21315812219,141930.76500405956,0.00698972239080741,0.0009271196144642335
2024-09-26,153435.696241574,120039.567436264,144461.59321376463,123702.59439222471,144408.3899983737,0.006927905975604395,0.007513039928117804
2024-09-27,151366.29465722354,119372.50346073622,141670.95556850097,121740.57238037177,142371.2274372888,-0.013487093518918426,-0.005557034149443862
2024-09-30,151992.44111317978,119696.22468570482,140361.40892139648,120647.06229300248,142284.0225980025,0.004136630663875309,0.002711857551643604
2024-10-01,149345.2413000687,118028.56851880492,136604.3309146096,117267.12641796235,138779.68042290892,-0.01741665436598821,-0.013932404061020143
2024-10-02,151704.25569651905,118195.34017056623,138571.50819943668,118847.20591022262,140650.009837325,0.015795711841333555,0.0014129769923858504
2024-10-03,153940.31445046814,118107.04707732816,139846.74949302457,119271.02335649187,141758.98736502932,0.014739591474759247,-0.000747009933815157
2024-10-04,156001.33920723211,119512.29079991102,141716.7077621709,120903.4444927181,144181.84342173603,0.013388466589283977,0.011898051448723468
2024-10-07,155069.26381675687,118232.12393018934,141945.45114704905,120573.80332949596,145292.34639311137,-0.005974790955076771,-0.010711591763101103
2024-10-08,159720.6291846545,119997.86509352477,144404.41176341302,121761.50581495053,147261.69749596165,0.029995404978475103,0.014934529674676345
2024-10-09,162761.80103028342,120942.06708736144,145908.38765014312,123032.90175112466,148902.99969847492,0.01904057015774073,0.0078684899360566
2024-10-10,162806.45589431503,120804.73149590561,145622.45402317753,122169.60304148801,148838.85048866138,0.000274357151057293,-0.0011355485710082824
2024-10-11,163841.56125934573,120993.56887713728,146789.04704440307,123195.08349523593,150707.85049286296,0.006357888938400739,0.0015631621286131825
2024-10-14,164415.85580723063,122008.87155482298,149413.8461752169,125465.82129325133,151669.57405817526,0.0035051823448863117,0.008391377220360319
2024-10-15,160327.46074485366,120377.99914754622,141339.27853960128,118957.10241300153,148707.653211198,-0.024866184847588235,-0.013366834612055012
